DOM,CDOM,SettledMonth,SettledYear,SettledMonthYear,MortgageRate,SettledDay,OriginalPrice,List Price,SoldPrice,Financing,SaleType,TaxAnnualTotal,AcresTotal,HOA,HOAFeeNormalized,YearBuilt,Age,SqFt,Bedrooms,BathsFull,BathsHalf,BathsHalfConverted,Baths,Basement,GarageSpaces,Fireplace,central air,Waterfront,New Construction,AboveGradeSqFt,BelowGradeSqFt
2,2,1,2025,12025,6.91,15,195000,195000,190000,3,1,1527,0.19,0,0,1941,84,816,3,1,0,0,1,0,0,0,1,0,0,816,0
24,24,2,2025,22025,6.89,19,635000,635000,632700,2,1,5065,0.17,1,1164,2020,5,4341,5,4,1,0.5,4.5,1,2,0,1,0,0,3190,1151
0,0,12,2024,122024,6.69,3,185000,185000,185000,2,1,1986,0.12,0,0,1941,84,840,3,2,0,0,2,0,0,0,1,0,0,840,0
46,46,1,2025,12025,6.91,31,179000,179000,175000,2,1,1593,0.12,0,0,1941,84,672,2,1,0,0,1,0,0,0,1,0,0,672,0
1,1,12,2024,122024,6.69,13,160000,160000,160000,1,1,2342,0.19,0,0,1950,75,918,3,1,0,0,1,0,0,0,1,0,0,918,0
50,50,2,2025,22025,6.89,27,599990,599990,599990,3,1,0,0.16,1,1236,2025,0,3631,4,3,1,0.5,3.5,1,2,0,1,0,1,2765,866
56,56,2,2025,22025,6.89,18,199990,185900,175000,2,1,726,0.23,0,0,1945,80,576,2,1,0,0,1,0,0,0,1,0,0,576,0
4,4,1,2025,12025,6.91,15,310000,310000,310000,2,1,2559,0.06,1,740,2003,22,2024,3,2,2,1,3,1,0,0,1,0,0,1584,440
1,1,12,2024,122024,6.69,19,625000,560000,560000,3,1,3728,0.15,1,441,2005,20,3900,6,3,1,0.5,3.5,1,2,1,1,0,0,2720,1180
36,36,2,2025,22025,6.89,14,345000,345000,345000,2,1,3480,0.16,0,0,1987,38,2362,3,1,1,0.5,1.5,1,0,1,1,0,0,1532,830
17,17,12,2024,122024,6.69,19,399900,399900,399900,2,1,2893,0.46,0,0,1969,56,1536,3,2,0,0,2,1,1,1,1,0,0,1536,0
27,27,12,2024,122024,6.69,30,165000,165000,168000,2,1,1590,0.14,0,0,1941,84,672,2,1,0,0,1,0,0,0,1,0,0,672,0
26,26,12,2024,122024,6.69,30,319999,309999,303900,2,1,3473,0.37,0,0,1958,67,1539,2,1,1,0.5,1.5,1,2,0,1,0,0,1139,400
2,2,3,2025,32025,6.63,14,581335,581335,581335,2,1,0,0.14,1,2400,2025,0,2582,3,3,0,0,3,1,2,0,1,0,1,1726,856
18,18,12,2024,122024,6.69,27,304900,285000,299900,2,1,3058,0.21,0,0,1946,79,1164,3,1,1,0.5,1.5,1,1,1,1,0,0,1164,0
36,144,1,2025,12025,6.91,6,700000,700000,695000,2,1,5174,7.13,0,0,1800,225,2200,4,2,0,0,2,1,4,1,1,0,0,2200,0
5,5,12,2024,122024,6.69,30,290000,295000,295000,2,1,3486,0.06,1,624,2000,25,1872,3,2,1,0.5,2.5,1,0,0,1,0,0,1872,0
3,3,2,2025,22025,6.89,18,295000,295000,185000,1,1,4035,0.13,0,0,1986,39,1890,4,2,0,0,2,1,0,1,1,0,0,1080,810
43,43,2,2025,22025,6.89,7,564987,547987,548000,2,1,4647,1.39,0,0,1956,69,2682,4,2,1,0.5,2.5,1,2,1,1,0,0,2682,0
72,72,2,2025,22025,6.89,25,230000,230000,225000,2,1,2021,0.1,0,0,1917,108,1056,3,2,0,0,2,1,0,0,1,0,0,1056,0
0,0,10,2024,102024,6.12,30,97000,97000,97000,1,1,4034,0.61,0,0,1962,63,1616,3,2,0,0,2,1,1,1,1,0,0,1616,0
33,33,1,2025,12025,6.91,15,285000,269900,225000,1,1,3256,0.13,0,0,1986,39,1532,3,2,0,0,2,1,0,1,1,0,0,1532,0
12,12,12,2024,122024,6.69,6,325000,325000,325000,2,1,2815,0.15,0,0,1952,73,1283,3,2,0,0,2,0,1,0,1,0,0,1283,0
8,8,11,2024,112024,6.79,26,385000,385000,385000,2,1,2091,0.55,0,0,1970,55,1056,3,2,0,0,2,1,2,0,1,0,0,1056,0
28,28,1,2025,12025,6.91,8,1100000,1100000,1050000,2,1,5721,0.52,0,0,1935,90,3358,4,3,1,0.5,3.5,1,2,1,1,1,0,3358,0
19,19,12,2024,122024,6.69,12,340000,340000,310000,2,1,2183,0.06,1,740,2004,21,1856,3,1,2,1,2,1,0,0,1,0,0,1456,400
41,41,12,2024,122024,6.69,4,119000,119000,119000,2,1,0,0,0,0,1980,45,1980,3,2,0,0,2,0,0,0,1,0,0,1980,0
9,9,12,2024,122024,6.69,13,378000,378000,383000,2,1,3211,0.08,1,1116,2020,5,2020,3,2,2,1,3,0,1,0,1,0,0,2020,0
8,8,1,2025,12025,6.91,24,380000,380000,400000,4,1,4612,0.35,0,0,1986,39,2089,4,2,0,0,2,1,2,1,1,0,0,1194,895
5,5,12,2024,122024,6.69,20,325000,325000,335000,2,1,3796,0.36,0,0,1966,59,1960,4,2,1,0.5,2.5,1,1,1,1,0,0,1310,650
4,4,12,2024,122024,6.69,23,394990,399990,399990,2,1,0,0.05,1,1620,2024,1,2144,4,3,1,0.5,3.5,1,1,0,1,0,1,2144,0
53,53,2,2025,22025,6.89,5,444990,447585,447585,4,1,0,0.05,1,1620,2025,0,2196,3,2,2,1,3,1,2,0,1,0,1,2196,0
25,25,12,2024,122024,6.69,13,430000,419500,430000,3,1,3528,0.1,1,1116,2015,10,2504,4,3,1,0.5,3.5,1,2,1,1,0,0,1904,600
25,37,12,2024,122024,6.69,9,419000,419000,430000,3,1,2510,0.4,0,0,1987,38,2564,3,2,1,0.5,2.5,1,1,0,1,0,0,1728,836
32,32,11,2024,112024,6.79,25,18950,18950,15000,1,1,1,0,0,0,1993,32,975,2,2,0,0,2,0,0,0,0,0,0,975,0
20,20,12,2024,122024,6.69,23,349990,349990,385000,4,1,3913,0.13,0,0,1986,39,1890,5,2,0,0,2,1,0,1,1,0,0,1080,810
0,0,10,2024,102024,6.12,18,305000,305000,305000,2,1,3075,0.47,0,0,1954,71,1924,3,2,0,0,2,1,2,1,1,0,0,962,962
3,157,12,2024,122024,6.69,3,289900,289900,295000,1,1,2495,0.97,0,0,1958,67,1098,2,1,0,0,1,1,0,1,1,0,0,1098,0
9,9,11,2024,112024,6.79,27,399999,399999,350000,2,1,2492,2.43,0,0,1936,89,1428,3,2,1,0.5,2.5,1,0,1,1,0,0,1428,0
8,8,12,2024,122024,6.69,9,340000,340000,345000,3,1,3914,0.13,0,0,1986,39,1890,4,2,1,0.5,2.5,1,0,0,1,0,0,1080,810
5,5,11,2024,112024,6.79,8,250000,250000,261100,1,1,2528,0.08,0,0,1983,42,2010,3,1,1,0.5,1.5,1,0,0,1,0,0,1360,650
8,8,11,2024,112024,6.79,14,349900,349900,349900,2,1,2909,0.08,1,1020,2007,18,1956,3,2,2,1,3,0,1,0,1,0,0,1536,420
7,7,11,2024,112024,6.79,8,450000,450000,450000,2,1,3496,0.17,1,210,2003,22,2302,4,2,1,0.5,2.5,1,2,1,1,0,0,2302,0
39,39,1,2025,12025,6.91,10,649000,614000,610000,2,1,5242,0.18,1,1116,2015,10,3965,5,5,1,0.5,5.5,1,2,1,1,0,0,2920,1045
1,1,11,2024,112024,6.79,15,285000,285000,285000,4,1,3853,0.14,0,0,1985,40,1890,3,2,0,0,2,1,0,1,1,0,0,1080,810
23,46,11,2024,112024,6.79,22,224900,224900,230000,2,1,1717,0.14,0,0,1950,75,702,2,1,0,0,1,0,0,0,1,0,0,702,0
7,7,11,2024,112024,6.79,18,230000,230000,230000,2,1,1506,0.13,0,0,1951,74,702,2,1,0,0,1,0,0,0,1,0,0,702,0
91,91,2,2025,22025,6.89,10,349000,330000,325000,2,1,3373,0.24,0,0,1950,75,1240,3,2,0,0,2,0,0,0,1,0,0,1240,0
47,47,12,2024,122024,6.69,23,610000,604999,603000,2,1,5273,0.16,1,1116,2020,5,3903,5,4,1,0.5,4.5,1,2,1,1,0,0,2873,1030
13,13,12,2024,122024,6.69,18,399990,399990,399990,2,1,0,0.06,1,2160,2024,1,1730,3,2,1,0.5,2.5,1,1,0,1,0,1,1730,0
83,83,1,2025,12025,6.91,22,314900,274900,275000,2,1,2799,0.22,0,0,1962,63,1224,3,1,0,0,1,1,0,0,1,0,0,1224,0
25,25,12,2024,122024,6.69,12,324000,314000,312000,2,1,2283,0.04,1,760,2003,22,1815,3,2,1,0.5,2.5,1,0,0,1,0,0,1320,495
70,70,1,2025,12025,6.91,10,524900,490000,480000,4,1,4289,0.15,1,360,2004,21,3932,4,3,1,0.5,3.5,1,2,1,1,0,0,3232,700
61,61,1,2025,12025,6.91,10,350000,295000,261250,1,1,2834,0.85,0,0,1960,65,3600,5,2,0,0,2,1,0,1,1,0,0,2122,1478
40,40,12,2024,122024,6.69,2,449900,449900,445000,2,2,3621,0.15,1,487,2005,20,2720,5,4,1,0.5,4.5,1,2,1,1,0,0,2720,0
54,54,1,2025,12025,6.91,15,225000,199000,199000,2,1,1938,0.17,0,0,1941,84,984,3,1,0,0,1,0,0,0,1,0,0,984,0
11,11,11,2024,112024,6.79,15,109500,109500,109500,5,1,1,0,0,0,1991,34,1716,3,2,0,0,2,0,0,0,0,0,0,1716,0
8,8,11,2024,112024,6.79,15,349000,349999,350000,2,1,3542,0.44,0,0,1976,49,2017,3,3,0,0,3,1,0,1,1,0,0,1367,650
12,12,11,2024,112024,6.79,29,379990,364990,364990,2,1,0,0.05,1,1620,2024,1,1951,3,2,1,0.5,2.5,1,1,0,1,0,1,1951,0
9,9,11,2024,112024,6.79,27,220000,220000,220000,3,1,1514,0.12,0,0,1951,74,702,2,1,0,0,1,0,0,0,1,0,0,702,0
19,19,11,2024,112024,6.79,29,399990,394990,394990,2,1,0,0.05,1,1620,2024,1,2144,4,3,1,0.5,3.5,1,1,0,1,0,1,2144,0
12,12,11,2024,112024,6.79,26,479990,488290,488290,4,1,0,0.09,1,1620,2024,1,2861,3,3,1,0.5,3.5,1,2,0,1,0,1,1912,949
15,15,12,2024,122024,6.69,9,300000,300000,300000,2,1,2253,0.04,1,760,2002,23,1600,3,2,1,0.5,2.5,1,0,0,1,0,0,1520,80
26,26,11,2024,112024,6.79,27,475000,465000,465000,3,1,3599,0.2,1,294,2016,9,2130,4,2,1,0.5,2.5,1,2,0,1,0,0,2130,0
23,23,12,2024,122024,6.69,5,559990,554990,554990,3,1,0,0.16,1,1236,2024,1,2572,5,3,1,0.5,3.5,1,2,0,1,0,1,1909,663
85,262,1,2025,12025,6.91,22,384000,374000,374000,3,1,3376,0.16,0,0,2024,1,1475,4,2,0,0,2,1,0,0,1,0,1,1475,0
4,4,11,2024,112024,6.79,15,289900,289900,308000,2,1,3209,0.29,0,0,1955,70,1361,3,2,0,0,2,1,0,1,1,0,0,1361,0
115,115,2,2025,22025,6.89,14,349900,329900,342000,3,2,3649,0.14,0,0,1985,40,1680,3,2,0,0,2,1,0,0,0,0,0,1080,600
10,10,11,2024,112024,6.79,8,289900,289900,302500,3,1,2039,0.19,0,0,1962,63,1432,3,1,0,0,1,1,0,0,1,0,0,816,616
81,81,2,2025,22025,6.89,7,384900,349900,335000,2,1,2727,0.68,1,470,2001,24,2838,4,3,0,0,3,1,2,0,1,0,0,1419,1419
8,8,10,2024,102024,6.12,11,174900,174900,175000,1,1,2222,0.07,0,0,1980,45,1240,3,1,1,0.5,1.5,1,0,0,1,0,0,1240,0
6,6,11,2024,112024,6.79,15,269000,269000,270000,2,1,3077,0.47,0,0,1960,65,1128,3,1,0,0,1,1,1,1,1,0,0,1128,0
3,3,10,2024,102024,6.12,28,449990,449990,449990,4,1,0,0.09,1,1620,2024,1,2861,4,3,1,0.5,3.5,1,2,0,1,0,1,1912,949
71,71,1,2025,12025,6.91,21,444990,429990,429990,4,1,0,0.05,1,1620,2025,0,2196,3,2,1,0.5,2.5,1,2,0,1,0,1,2196,0
5,5,11,2024,112024,6.79,26,280000,280000,285000,2,1,3191,0.23,0,0,1958,67,1671,3,2,0,0,2,1,0,1,1,0,0,1271,400
29,29,11,2024,112024,6.79,12,375000,369000,376000,3,1,3194,0.05,1,1116,2019,6,1996,3,2,2,1,3,1,1,0,1,0,0,1996,0
0,0,9,2024,92024,6.35,9,275000,275000,275000,2,1,2209,0.07,1,1020,2006,19,1560,3,3,1,0.5,3.5,1,0,0,1,0,0,1160,400
5,5,10,2024,102024,6.12,11,450000,450000,460000,2,1,3265,0.93,0,0,1972,53,1944,3,3,0,0,3,1,1,1,1,0,0,1344,600
44,44,1,2025,12025,6.91,15,320000,320000,320000,4,1,3480,0.2,0,0,1917,108,1704,5,2,1,0.5,2.5,1,0,0,1,0,0,1704,0
43,43,12,2024,122024,6.69,11,449000,419900,420000,2,1,3523,0.2,0,0,1978,47,1700,5,3,1,0.5,3.5,1,0,1,1,0,0,1700,0
11,11,11,2024,112024,6.79,1,235000,235000,225000,2,1,2330,0.11,0,0,1962,63,956,3,1,0,0,1,0,0,0,1,0,0,956,0
4,4,10,2024,102024,6.12,11,389900,389900,410000,3,1,3309,0.06,1,1020,2014,11,2785,3,2,2,1,3,1,2,1,1,0,0,2160,625
6,6,10,2024,102024,6.12,25,220000,220000,220000,4,1,2449,0.23,0,0,1941,84,924,3,2,0,0,2,0,0,0,1,0,0,924,0
24,24,1,2025,12025,6.91,13,280000,259900,275000,2,1,2928,0.28,0,0,1959,66,1344,3,2,0,0,2,1,0,1,1,0,0,1344,0
13,13,10,2024,102024,6.12,31,325000,325000,325000,2,1,3508,0.27,0,0,1955,70,1618,3,1,1,0.5,1.5,1,0,1,1,0,0,1618,0
64,64,12,2024,122024,6.69,12,265000,245000,224000,3,1,2007,0.12,0,0,1941,84,840,3,1,0,0,1,0,0,0,1,0,0,840,0
2,2,1,2025,12025,6.91,13,550450,550450,550450,4,1,0,0.14,1,2400,2025,0,2520,4,3,0,0,3,1,2,0,1,0,1,1722,798
25,25,11,2024,112024,6.79,15,575000,575000,575000,4,1,4394,0.17,1,140,2005,20,4244,4,3,1,0.5,3.5,1,2,1,1,0,0,3244,1000
64,64,1,2025,12025,6.91,6,370000,350000,350000,2,1,3082,0.05,1,1116,2019,6,1996,3,2,2,1,3,1,1,0,1,0,0,1996,0
30,30,11,2024,112024,6.79,27,325000,325000,335000,3,1,2916,0.55,0,0,1955,70,2093,3,2,1,0.5,2.5,1,1,1,1,0,0,1893,200
10,10,11,2024,112024,6.79,1,419990,419990,419990,2,1,0,0.06,1,2160,2024,1,2280,4,3,1,0.5,3.5,1,1,0,1,0,1,1730,550
18,18,10,2024,102024,6.12,17,289900,289900,289000,2,1,1697,0.26,0,0,1962,63,1374,4,1,0,0,1,0,0,0,1,0,0,1374,0
1,71,10,2024,102024,6.12,4,600000,600000,600000,3,1,7082,0.19,1,503.4,2015,10,4094,4,3,1,0.5,3.5,1,2,1,1,0,0,3304,790
3,3,10,2024,102024,6.12,31,525000,525000,525000,2,1,5875,0.39,0,0,1999,26,2764,5,3,1,0.5,3.5,1,2,1,1,0,0,2764,0
89,89,12,2024,122024,6.69,26,580000,557500,555000,2,1,6738,0.35,1,508,2011,14,3112,4,2,1,0.5,2.5,1,2,1,1,0,0,3112,0
30,30,10,2024,102024,6.12,28,349950,334950,334950,2,1,2308,0.28,0,0,1952,73,1232,3,2,0,0,2,0,1,0,1,0,0,1232,0
39,66,1,2025,12025,6.91,7,625000,599000,600000,3,1,4680,0.29,1,1116,2013,12,3832,5,3,1,0.5,3.5,1,2,1,1,0,0,2531,1301
18,18,11,2024,112024,6.79,1,479990,479990,479990,1,1,0,0.14,1,2400,2024,1,2520,4,3,0,0,3,1,2,0,1,0,1,1722,798
80,80,12,2024,122024,6.69,16,495000,485000,485000,3,1,3451,0.15,1,220,2003,22,2302,4,2,1,0.5,2.5,1,2,1,1,0,0,2302,0
12,12,9,2024,92024,6.35,30,379900,379900,379900,3,1,3048,0.06,1,1020,2010,15,2522,3,3,1,0.5,3.5,1,2,0,1,0,0,1922,600
9,9,11,2024,112024,6.79,10,269900,269900,286000,3,1,3848,0.16,0,0,1986,39,1890,4,2,0,0,2,1,0,0,1,0,0,1080,810
2,2,12,2024,122024,6.69,19,508420,508620,508620,2,1,0,0.14,1,2400,2024,1,2582,3,3,0,0,3,1,2,0,1,0,1,1726,856
37,37,10,2024,102024,6.12,23,534990,534990,534990,1,1,0,0.14,1,2400,2024,1,2582,3,3,0,0,3,1,2,0,1,0,1,1726,856
6,6,9,2024,92024,6.35,27,279000,279000,279000,1,1,2024,0.04,1,740,2003,22,1620,3,2,1,0.5,2.5,1,0,0,1,0,0,1320,300
13,13,10,2024,102024,6.12,21,399900,399900,399900,4,1,3266,0.06,1,1020,2011,14,2731,3,3,1,0.5,3.5,1,2,1,1,0,0,2106,625
29,30,10,2024,102024,6.12,29,289900,289900,265000,3,1,2678,0.16,0,0,1960,65,1560,3,1,0,0,1,1,0,1,1,0,0,1040,520
5,5,9,2024,92024,6.35,30,250000,257500,257500,3,1,2259,0.39,0,0,1938,87,1532,4,1,1,0.5,1.5,1,0,0,1,0,0,1532,0
2,2,10,2024,102024,6.12,10,429990,429990,429990,3,1,0,0.06,1,2160,2024,1,2280,4,3,1,0.5,3.5,1,1,0,1,0,1,1730,550
28,28,10,2024,102024,6.12,30,389900,389900,389900,2,1,3155,0.08,1,1116,2019,6,2106,4,2,2,1,3,1,1,0,1,0,0,2106,0
5,5,9,2024,92024,6.35,30,325000,325000,341000,2,1,3202,0.48,0,0,1954,71,1514,3,2,0,0,2,1,1,0,1,0,0,1514,0
100,100,1,2025,12025,6.91,14,399910,369990,369990,3,1,0,0.06,1,2160,2025,0,1730,3,2,1,0.5,2.5,1,1,0,1,0,1,1730,0
106,106,1,2025,12025,6.91,14,375070,349990,349990,3,1,0,0.06,1,2160,2025,0,1730,3,2,1,0.5,2.5,1,1,0,1,0,1,1730,0
2,2,12,2024,122024,6.69,16,548355,526160,526160,2,1,0,0.14,1,2400,2024,1,2582,3,3,0,0,3,1,2,0,1,0,1,1726,856
65,65,11,2024,112024,6.79,26,799900,750000,720000,2,1,4847,5.67,0,0,1903,122,4290,5,4,1,0.5,4.5,1,0,1,0,0,0,4290,0
19,19,10,2024,102024,6.12,31,599900,599900,582450,4,1,473,0.17,1,400,2024,1,2711,4,3,0,0,3,1,2,0,1,0,0,1696,1015
25,141,11,2024,112024,6.79,26,525000,514000,458000,2,1,3879,0.54,0,0,1984,41,1820,2,1,1,0.5,1.5,1,0,0,1,1,0,1120,700
11,11,9,2024,92024,6.35,27,565000,565000,565000,2,1,4665,0.13,1,1500,2019,6,2449,4,2,2,1,3,1,2,1,1,0,0,2449,0
9,9,10,2024,102024,6.12,7,185000,185000,185000,3,1,1326,0.11,0,0,1941,84,752,2,1,0,0,1,0,0,0,1,0,0,752,0
63,63,11,2024,112024,6.79,26,419900,399900,399900,5,1,3201,0.32,0,0,1983,42,1925,5,2,0,0,2,0,0,0,0,0,0,1925,0
7,7,9,2024,92024,6.35,23,600000,600000,612000,2,1,5096,0.18,1,1116,2019,6,4304,5,4,1,0.5,4.5,1,2,0,1,0,0,3194,1110
5,5,8,2024,82024,6.73,30,375000,375000,385000,2,1,2846,1.05,0,0,1932,93,3606,4,3,0,0,3,1,2,0,1,0,0,2751,855
34,34,10,2024,102024,6.12,15,379990,368990,368990,3,1,0,0.05,1,1620,2024,1,1730,3,2,2,1,3,1,1,0,1,0,1,1730,0
4,4,9,2024,92024,6.35,12,265000,265000,265000,2,1,3305,0.37,0,0,1956,69,1696,3,2,0,0,2,1,0,1,0,0,0,1696,0
2,2,12,2024,122024,6.69,10,533624,532480,532480,1,1,0,0.14,1,2400,2024,1,2343,3,3,0,0,3,1,2,0,1,0,1,1561,782
2,2,12,2024,122024,6.69,9,495475,495125,495125,2,1,0,0.14,1,2400,2024,1,2343,3,3,0,0,3,1,2,0,1,0,1,1561,782
2,2,12,2024,122024,6.69,3,512215,517705,517705,3,1,0,0.14,1,2400,2024,1,2582,4,3,0,0,3,1,2,0,1,0,1,1726,856
2,2,12,2024,122024,6.69,12,493560,494740,494740,4,1,0,0.14,1,2400,2024,1,2343,3,3,0,0,3,1,2,0,1,0,1,1561,782
